ID,ZONE_NAME,NATURE,STATUS,ORIGINAL_LOCATION,CITY,matched_muni,admin3_pcode,province_name,ADM2_PCODE,region_name,admin1_pcode,geometry,lon,lat
96,DADC Economic Zone,Agro-Industrial,Operating,"Barangay Darong, Municipality of Sta. Cruz, Province of Davao del Sur",Municipality of Sta. Cruz,Santa Cruz,PH175111000,Occidental Mindoro,PH175100000,Region IV-B,PH170000000,"c(125.46917, 6.93278)",125.46917,6.93278
97,Daiichi Industrial Park,Manufacturing,Operating,"Maguyam, Silang, Cavite",Silang,Silang,PH042118000,Cavite,PH042100000,Region IV-A,PH040000000,"c(121.0220105, 14.2701092)",121.0220105,14.2701092
98,Damosa I.T. Park,IT Park,Operating,"J.P. Laurel Ave. cor. Angliongto Street, Lanang, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000,"c(125.645311050827, 7.105675692373)",125.645311050827,7.105675692373
99,Davao Park District,IT Park,Operating,"Barangay San Antonio, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000,"c(125.63487, 7.09899)",125.63487,7.09899
100,DBP IT Plaza,IT Center,Operating,"Barangay Calindagan, Dumaguete, City",City,Dumaguete City,PH074610000,Negros Oriental,PH074600000,Region VII,PH070000000,"c(123.2936929, 9.2820651)",123.2936929,9.2820651
101,Diliman IT Building,IT Center,Operating,"Commonwealth Avenue, Diliman, Quezon City",Diliman,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.052204068744, 14.653119221301)",121.052204068744,14.653119221301
102,DPC Place Building,IT Center,Operating,"2322 Chino Roces Avenue, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.023569796711, 14.53195699236)",121.023569796711,14.53195699236
103,"Eastbay Arts, Recreational and Tourism Zone",Tourism,Operating,"San Roque, Angono & Darangan, Binangonan, Rizal",Binangonan,Binangonan,PH045804000,Rizal,PH045800000,Region IV-A,PH040000000,"c(121.1668, 14.5255)",121.1668,14.5255
104,Eastwood City CyberPark,IT Park,Operating,"E Rodriguez, Jr. Ave., Bagumbayan, Quezon City",Bagumbayan,Bagumbayan,PH126501000,Sultan Kudarat,PH126500000,Region XII,PH120000000,"c(121.075529168915, 14.612099643779)",121.075529168915,14.612099643779
105,ECO Plaza,IT Center,Operating,"2305 Chino Roces Avenue Extension, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.022369756881, 14.533670239252)",121.022369756881,14.533670239252
106,Ecofuel Agro-Industrial Ecozone,Agro-Industrial,Operating,"Sta. Filomena, San Mariano, Isabela",San Mariano,San Mariano,PH023131000,Isabela,PH023100000,Region II,PH020000000,"c(122.0121112, 17.0161175)",122.0121112,17.0161175
107,ECOPRIME,IT Center,Operating,"32nd Street corner 9th Avenue, Bonifacio Global City, Fort Bonifacio, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.052208161472, 14.552992300388)",121.052208161472,14.552992300388
108,Ecotower,IT Center,Operating,"Lot 5, Block 2, 32nd Street corner 9th Avenue, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.049221, 14.5484707)",121.049221,14.5484707
109,EDSA Central IT Center,IT Center,Operating,"EDSA corner United Street, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.052394910274, 14.579188388111)",121.052394910274,14.579188388111
